year_group,metric,unit,aggregation_type,value
2000,CO2 Total,tonnes,average_annual,81.792975
2004,CO2 Total,tonnes,average_annual,97.3099
2008,CO2 Total,tonnes,average_annual,114.24455
2012,CO2 Total,tonnes,average_annual,137.11975
2016,CO2 Total,tonnes,average_annual,165.190675
2020,CO2 Total,tonnes,average_annual,185.4946
2000,CO2 from Cement,tonnes,average_annual,5.398949999999999
2004,CO2 from Cement,tonnes,average_annual,6.43415
2008,CO2 from Cement,tonnes,average_annual,7.430175
2012,CO2 from Cement,tonnes,average_annual,9.322575
2016,CO2 from Cement,tonnes,average_annual,12.38955
2020,CO2 from Cement,tonnes,average_annual,14.074975
2000,CO2 from Coal,tonnes,average_annual,20.0101875
2004,CO2 from Coal,tonnes,average_annual,30.492593749999997
2008,CO2 from Coal,tonnes,average_annual,37.32341666666667
2012,CO2 from Coal,tonnes,average_annual,47.531638888888885
2016,CO2 from Coal,tonnes,average_annual,62.0124
2020,CO2 from Coal,tonnes,average_annual,81.046875
2000,CO2 from Flaring,tonnes,average_annual,1.2536
2004,CO2 from Flaring,tonnes,average_annual,1.0904500000000001
2008,CO2 from Flaring,tonnes,average_annual,1.0468499999999998
2012,CO2 from Flaring,tonnes,average_annual,1.5229
2016,CO2 from Flaring,tonnes,average_annual,1.208825
2020,CO2 from Flaring,tonnes,average_annual,0.90105
2000,CO2 from Gas,tonnes,average_annual,21.6535625
2004,CO2 from Gas,tonnes,average_annual,27.13459375
2008,CO2 from Gas,tonnes,average_annual,31.9683125
2012,CO2 from Gas,tonnes,average_annual,36.897125
2016,CO2 from Gas,tonnes,average_annual,39.23171875
2020,CO2 from Gas,tonnes,average_annual,39.42540625
2000,CO2 from Oil,tonnes,average_annual,41.8096
2004,CO2 from Oil,tonnes,average_annual,43.6837
2008,CO2 from Oil,tonnes,average_annual,46.602025
2012,CO2 from Oil,tonnes,average_annual,53.97795
2016,CO2 from Oil,tonnes,average_annual,58.240025
2020,CO2 from Oil,tonnes,average_annual,57.931349999999995
2000,CO2 per Capita,tonnes_per_person,average_annual,3.872625
2004,CO2 per Capita,tonnes_per_person,average_annual,4.169275
2008,CO2 per Capita,tonnes_per_person,average_annual,4.626325
2012,CO2 per Capita,tonnes_per_person,average_annual,4.65545
2016,CO2 per Capita,tonnes_per_person,average_annual,5.143675
2020,CO2 per Capita,tonnes_per_person,average_annual,5.851375
